"filename", "language", "Lua", "JSON", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Explorable.lua", "Lua", 546, 0, 13, 48, 607
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Faction.lua", "Lua", 1335, 0, 24, 103, 1462
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\FrameView.lua", "Lua", 2694, 0, 71, 268, 3033
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\HoverEntity.lua", "Lua", 215, 0, 2, 27, 244
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\InGameMenu.lua", "Lua", 715, 0, 8, 63, 786
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Inventory.lua", "Lua", 36, 0, 2, 4, 42
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\ItemSlot.lua", "Lua", 401, 0, 7, 32, 440
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Library.lua", "Lua", 1062, 0, 6, 89, 1157
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\LinkEditor.lua", "Lua", 264, 0, 8, 27, 299
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\LoadSave.lua", "Lua", 339, 0, 2, 27, 368
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\MapOverlay.lua", "Lua", 578, 0, 7, 67, 652
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Music.lua", "Lua", 91, 0, 5, 10, 106
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Notification.lua", "Lua", 170, 0, 6, 22, 198
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Options.lua", "Lua", 993, 0, 4, 106, 1103
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Program.lua", "Lua", 2520, 0, 44, 247, 2811
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Reg.lua", "Lua", 528, 0, 2, 42, 572
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\RegisterSelection.lua", "Lua", 805, 0, 8, 101, 914
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\ReplayPlayer.lua", "Lua", 120, 0, 0, 15, 135
